400001; 2023-11-15; 2023-11-15; returnata; 100016; 200012
400002; 2023-11-15; 2023-11-15; returnata; 100029; 200017
400003; 2023-11-16; 2023-11-16; returnata; 100033; 200025
400004; 2023-11-16; 2023-11-16; returnata; 100022; 200027
400005; 2023-11-16; 2023-11-16; returnata; 100017; 200020
400006; 2023-11-18; 2023-11-18; returnata; 100030; 200007
400007; 2023-11-18; 2023-11-18; returnata; 100040; 200011
400008; 2023-11-19; 2023-11-19; returnata; 100038; 200004
400009; 2023-11-20; 2023-11-20; returnata; 100023; 200032
400010; 2023-11-16; 2023-11-16; returnata; 100010; 200018
400011; 2023-11-24; 2023-11-24; returnata; 100036; 200020
400012; 2023-11-28; 2023-11-28; returnata; 100019; 200040
400013; 2023-11-30; 2023-11-30; returnata; 100018; 200015
400014; 2023-11-30; 2023-11-30; returnata; 100003; 200013
400015; 2023-12-01; 2023-12-01; returnata; 100001; 200037
400016; 2023-12-01; 2023-12-01; returnata; 100026; 200027
400017; 2023-12-02; 2023-12-02; returnata; 100037; 200038
400018; 2023-12-02; 2023-12-02; returnata; 100014; 200019
400019; 2023-12-04; 2023-12-04; returnata; 100040; 200023
400020; 2023-12-06; 2023-12-06; returnata; 100023; 200029
400021; 2023-12-03; None; inchiriata; 100005; 200007
400022; 2023-12-03; None; inchiriata; 100009; 200008
400023; 2023-12-04; None; inchiriata; 100017; 200020
400024; 2023-12-05; None; inchiriata; 100013; 200007
400025; 2023-12-06; None; inchiriata; 100002; 200020
400026; 2023-12-07; None; inchiriata; 100015; 200020
400027; 2023-12-07; None; inchiriata; 100019; 200007
